id_code,gender,gc_score,syn_graph_col,syn_seq_space,scsq_imagery,scsq_techspace,scsq_language,scsq_organise,scsq_global,scsq_system
308,0,NA,No,No,3,2.29,3.17,1.17,3.38,2.17
309,0,NA,No,No,3.53,3.29,4,2.17,2.63,3.33
310,0,NA,No,No,4.41,3.47,3.83,1.33,1.75,2.83
311,0,NA,No,No,3.76,2.35,3.5,3.17,3.25,3.17
312,0,NA,No,No,3.94,3.53,3.67,1.83,2.13,2.33
313,0,NA,No,No,3.53,2.12,3,1,4.13,4
314,0,NA,No,No,4.18,2.53,4.33,3.33,3.38,2.83
315,0,NA,No,No,3.41,2.06,3.83,2,2.88,2.83
316,0,NA,No,No,3.47,2.53,4.33,2.83,3.13,2.83
317,0,NA,No,No,3.59,1.59,4.17,2.67,3.25,2.83
318,0,NA,No,No,3.18,2.53,2.83,3.5,2.88,3.17
319,0,NA,No,No,4.35,3.53,3,4.5,2.75,3
320,0,NA,No,No,3.82,2.65,3.5,3,2.5,3.67
321,0,NA,No,No,4.24,1.71,2.83,3.67,3.25,1.33
322,0,NA,No,No,3.47,3,3.33,3.17,3.13,3
323,0,NA,No,No,4.18,3.12,3.67,4,3.63,2.5
324,0,NA,No,No,2.71,2.76,3.5,3.33,2.63,3.33
325,0,NA,No,No,3.82,3.35,3.17,2.17,3.13,3.5
326,0,NA,No,No,4.29,2.82,4.33,2.67,2.38,2.33
327,0,NA,No,No,3.24,2.82,3.17,3.5,2.75,3
328,0,NA,No,No,4.24,1.53,4.33,3.5,2.25,3.17
329,0,NA,No,No,3,3,3,3,3,3
330,0,NA,No,No,2.59,1.82,3.33,2.5,3.88,1.67
331,0,NA,No,No,3.59,2.53,3.33,3.5,3.13,2.17
332,0,NA,No,No,3.59,2.47,4.67,3.5,3,2.33
333,0,NA,No,No,4.12,1.65,3.33,2.5,3.13,2.67
334,0,NA,No,No,3.82,3.12,3.83,3.33,3.13,3.33
335,0,NA,No,No,3.82,2.82,3,3.67,3.25,3
336,0,NA,No,No,3.59,2.88,3.17,3.17,2.88,3.33
337,0,NA,No,No,3.88,2.76,3,3,3.38,2.67
338,0,NA,No,No,3.24,2.53,4.33,3.67,2.75,3.33
339,0,NA,No,No,2.94,3.82,2.33,3.17,3.75,3
340,0,NA,No,No,4.29,3.18,2.5,3.33,2.63,2.83
341,0,NA,No,No,4.29,1.88,3.83,3.33,3.5,1.17
342,0,NA,No,No,2.65,3.29,2.33,2.67,3.75,1.83
343,0,NA,No,No,3.88,2.94,3.33,4,2.63,2
344,0,NA,No,No,3.88,2,3.67,2,3.5,1.5
345,0,NA,No,No,4,2.59,2.83,2.33,3.5,2.67
346,0,NA,No,No,3.53,2.82,3.5,3.17,2.88,1.67
347,0,NA,No,No,4.06,2.82,4.33,3.83,2.25,2.17
348,0,NA,No,No,4.18,2.88,3.67,2.33,2.38,2.33
349,0,NA,No,No,3.76,3.47,3.17,2.67,2.25,2.33
350,0,NA,No,No,3.06,3.06,2.67,2,2.63,2.17
351,0,NA,No,No,3.71,4,1.83,2.17,2.75,2.67
352,0,NA,No,No,2.71,1.59,2.17,2.5,2.63,2.17
353,0,NA,No,No,4.12,1.76,4.17,3,4.13,4.33
354,0,NA,No,No,4,3.82,1.67,3.67,2.5,3.33
355,0,NA,No,No,3.24,2.82,3.5,2.5,2.63,2.5
356,0,NA,No,No,4.12,2.82,3.5,4.5,3.13,3.67
357,0,NA,No,No,3.29,2.47,4.33,3,2.88,2.5
