recordeddate,id,gender,age,height,weight,instagram,condition,choice_perc,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,bss1,bss2,bss3,bss4,bss5,bss6,bss7,bss8,bss9,bss10,bss11,bss12,bss13,bss14,bss15,bss16,bss17,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,sac1,sac2,sac3,sac4,pacsr1,pacsr2,pacsr3,pacsr4
2017-12-11T10:46:54Z,BRU2689,Female,18-29,1.62,53.07,Yes,BPlarger,50,4,1,4,1,4,1,2,1,4,4,2,3,1,4,2,4,5,2,2,1,6,5,5,5,6,5,5,3,7,7,6,7,6,6,6,6,6,4,4,5,4,4,4,4,4,5,4,1,1,1,1,7,6,7,6
2017-12-11T14:01:22Z,KZR1385,Female,18-29,1.62,73,Yes,Control,25,2,4,1,1,1,1,1,1,1,1,2,1,2,1,1,2,4,1,1,1,2,5,5,5,6,5,5,4,6,4,5,5,1,1,5,2,4,1,2,2,1,2,2,2,3,2,3,1,NA,NA,NA,10,9,9,10
2017-12-11T14:31:16Z,JII0156,Female,18-29,1.7,89,Yes,BPaverage,25,4,1,3,1,1,1,4,2,3,1,2,3,4,4,4,3,2,2,3,4,3,4,2,2,7,5,6,6,7,4,5,4,1,1,6,4,4,1,2,3,2,3,1,1,2,1,2,5,5,5,5,7,6,7,6
2017-12-12T10:53:53Z,JRS1909,Female,18-29,1.57,50,Yes,BPlarger,100,2,1,1,1,2,2,1,1,1,2,1,3,2,1,1,1,1,1,1,2,5,7,7,7,7,7,7,7,7,7,7,7,5,5,7,5,7,3,3,3,3,3,3,3,2,3,3,2,1,2,2,7,7,9,7
2017-12-12T14:50:44Z,SOD4662,Female,18-29,1.6,62,No,Control,33.3333333,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,6,4,5,4,5,5,4,5,2,3,3,3,4,3,3,3,3,2,2,2,3,3,2,1,1,1,1,9,9,9,9
2017-12-14T04:12:34Z,PLJ7419,Female,NA,1.54,64.86,Yes,BPlarger,100,5,1,2,1,1,2,1,1,3,3,1,2,1,3,1,1,3,1,2,1,2,4,5,4,3,4,5,4,6,6,6,3,1,1,5,6,3,3,3,4,2,4,3,3,4,2,3,5,5,5,5,7,8,8,9
2017-12-14T04:30:28Z,VYD4538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-14T04:32:21Z,SQT5339,Female,18-29,1.67,62.59,Yes,BPaverage,75,3,1,3,2,1,4,4,1,3,5,1,3,1,5,4,3,3,1,4,2,5,1,1,6,4,4,5,4,1,4,2,1,5,5,4,6,3,4,3,3,4,3,2,3,1,3,1,3,2,1,1,7,7,6,7
2017-12-14T04:37:07Z,CIO6474,Female,40-49,1.57,65.77,No,BPaverage,100,2,1,1,1,3,1,1,1,3,3,1,3,1,3,1,3,2,1,3,1,3,5,5,5,3,7,7,7,6,7,7,7,3,5,6,5,7,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,7,7,7
2017-12-14T05:21:55Z,XKU6204,Female,18-29,1.72,91.1,Yes,Control,100,4,1,3,1,4,1,1,1,3,4,1,3,1,3,2,4,3,2,2,1,3,5,6,6,6,6,7,5,5,6,5,3,3,3,3,4,3,4,3,4,4,4,4,3,4,4,4,2,NA,NA,NA,9,7,9,7
2017-12-14T05:23:42Z,MOV5622,Female,30-39,1.62,63.5,No,BPaverage,100,4,1,1,1,3,1,1,1,3,4,1,1,1,4,1,4,1,1,4,1,6,6,6,4,6,5,6,6,6,6,5,3,4,4,4,5,6,3,4,3,3,2,2,4,4,4,4,1,1,1,1,7,6,6,6
2017-12-14T06:36:17Z,XOH0467,Female,18-29,1.52,82.55,Yes,Control,100,1,1,5,1,4,1,1,3,4,5,2,1,1,5,1,5,5,1,4,1,5,6,6,7,7,7,7,7,7,6,6,7,2,3,5,3,7,4,3,5,4,2,2,3,4,2,3,3,3,3,3,7,8,9,7
2017-12-14T06:39:51Z,GPD5576,Female,50+,1.6,140.53,Yes,BPlarger,100,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,6,6,6,5,7,7,7,5,7,5,5,1,4,7,1,1,2,2,3,3,3,1,1,1,1,1,1,1,1,1,6,6,6,6
2017-12-14T08:11:33Z,KMO0749,Female,40-49,1.65,69.85,Yes,BPaverage,100,3,1,3,1,3,1,1,1,3,4,1,2,1,4,1,1,3,1,3,1,1,4,5,4,3,4,2,4,5,4,3,1,1,1,5,1,4,4,1,2,2,3,2,3,2,3,3,1,3,1,1,8,8,8,8
2017-12-14T13:31:19Z,GJG8579,Female,18-29,1.57,95.25,Yes,BPaverage,100,2,4,1,3,1,1,2,1,1,1,4,4,5,2,4,2,1,1,1,2,1,2,2,1,5,3,3,7,4,2,2,7,1,1,1,1,5,1,3,3,1,1,1,2,1,1,1,5,5,5,5,10,10,10,10
2017-12-14T13:41:03Z,GHW0941,Female,50+,1.57,83,No,Control,0,2,1,1,2,2,1,1,1,2,4,2,2,1,1,1,1,2,1,1,1,2,4,2,3,5,3,5,5,5,4,4,3,1,3,4,3,5,2,2,2,2,3,2,2,3,3,2,1,1,1,1,7,7,7,7
2017-12-14T13:51:41Z,UAB5979,Female,50+,1.75,108.86,No,BPlarger,100,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,4,4,5,4,5,5,6,6,5,6,4,3,3,5,4,4,3,2,3,3,3,2,3,3,2,1,3,5,5,4,7,7,7,7
2017-12-15T06:12:36Z,OPQ7626,Female,50+,1.6,108.86,Yes,BPaverage,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6
